証券コード,会社名,基準日,本文
2156,セーラー広告株式会社,2026-03-31,"３ 【配当政策】

当社は、株主の皆様への利益還元を重要な経営課題として位置付け、安定した配当を継続して実施することを基本とし、資金需要の状況、業績の動向、ならびに、内部留保の充実等を総合的に検討したうえで配当額を決定しております。また、当社は、株主総会を決定機関とする剰余金配当を年１回行うことを基本としていますが、当該方針に基づいた柔軟な配当を実施できるよう取締役会を決定機関とする中間配当を行うことができる旨を定款に定めております。内部留保資金につきましては、借入金の返済など財務体質の強化に充当し、将来の事業展開に向けた競争力の強化に繋げたいと考えております。

なお、当期の期末配当金につきましては、当方針のもと、安定配当を維持しながら中長期的な視点で利益還元の充実を図ってまいりたいとの考えから、従業員に対する譲渡制限付株式としての自己株式の処分による自己資本比率の改善等を踏まえ、利益成長に向けた新規投資と安定した株主還元の最適なバランスを検討した結果、１株当たり６円といたしました。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額(千円)



１株当たりの配当額(円)







2026年５月14日

取締役会決議



30,882



6.00"
2157,株式会社コシダカホールディングス,2025-08-31,"３ 【配当政策】

当社は、株主の皆様に対する利益還元を経営の重要課題の一つとして認識しております。利益配分につきましては、事業の更なる成長と経営体質の強化のために必要な内部留保を確保しつつ、配当性向水準の中期的上昇も念頭に、安定した配当を継続して実施していくことを基本方針としております。

これらの剰余金配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

当事業年度の配当は、上記方針にもとづいて中間配当を１株当たり12.0円実施いたしました。期末配当においても、連結の売上高、営業利益及び経常利益において過去最高を更新した当期の業績等を勘案し、１株当たり12.0円にて実施いたします。

また、内部留保資金につきましては、今後の事業展開に必要な既存・新規事業への投資等の事業拡大を中心とした資金需要に備えることといたします。

なお、当社は中間配当を行うことができる旨を定款に定めております。

 













決議年月日



配当金の総額 (千円)



１株当たり配当額 (円)







2025年４月10日

取締役会決議



1,005,351



12.00







2025年11月27日

定時株主総会決議



1,005,351



12.00"
2158,株式会社ＦＲＯＮＴＥＯ,2026-03-31,"３ 【配当政策】

株主に対する利益還元は、当社グループ経営の重要課題のひとつと位置付けた上で、財務体質の強化と積極的な事業展開と経営基盤の強化に必要な内部留保の充実に努めつつ、業績に応じた配当を継続的に行う事を基本方針としております。当社の剰余金の配当は、中間配当及び期末配当の年２回を基本的な方針としております。配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。当事業年度におきましては、財務基盤の強化と将来の事業拡大のための内部留保の蓄積を図ることを最優先とし無配当とさせていただきます。なお、当社は中間配当を行うことができる旨を定款に定めております。"
215A,株式会社タイミー,2026-04-30,"３ 【配当政策】

当社は、現在成長過程にあると認識しており、事業の拡充や組織体制の整備への投資のため、内部留保の充実が重要であると考え、会社設立以来、これまで配当を実施しておりません。しかしながら、株主への利益還元を経営上の重要な課題として認識しており、事業基盤の整備状況や投資計画、業績や財政状態等を総合的に勘案しながら、継続的かつ安定的な配当を行うことを検討していく方針であります。

内部留保資金については、事業の拡充や組織体制の整備への投資のための資金として、有効に活用していく方針であります。

なお、剰余金の配当を行う場合は、期末配当の年１回を基本方針としており、その他年１回の中間配当を行うことができる旨を定款で定めております。配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。"
2160,株式会社ジーエヌアイグループ,2025-12-31,"３【配当政策】

当社グループは中長期的な事業成長を重視し、新薬開発に向けた研究開発活動及びM＆Aへの投資を積極的に行っていたため、これまで利益配当は実施しておりませんでした。しかし、株主の皆様への利益還元は重要な経営課題の一つとして認識しております。

今後は収益力の強化及び経営基盤の整備を進めるとともに、内部留保の充実状況や事業環境の変化を総合的に勘案し、当社グループの成長段階に応じた利益還元の実施を検討してまいります。"
2162,ｎｍｓホールディングス株式会社,2026-03-31,"３【配当政策】

当社は、株主の皆様への利益還元を経営上の重要課題の一つと認識しております。一方で、持続的な企業成長の実現及び財務基盤の強化に向けた施策を着実に進めていくことも重要であると考えております。

このような考えのもと、当社は、成長投資及び有利子負債の返済とのバランスに留意しつつ、年１回の期末配当を通じて、継続的な株主還元の実施に努めることを配当政策の基本方針としております。

上記基本方針に基づき2026年３月期の期末配当につきましては、当該方針及び通期業績等を勘案し、１株当たり３円00銭とする予定です。

 

当連結会計年度に係る剰余金の配当（予定）は以下のとおりです。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2026年６月29日

57

3.00

定時株主総会決議（予定）"
2163,株式会社アルトナー,2026-01-31,"３【配当政策】

  当社は、利益配分につきましては、今後の事業展開や業績及び経営環境、経営基盤の強化を総合的に考慮し、株主に対する安定的な配当を実施することを経営の最重要課題と位置付けており、配当性向50％をベースに検討することとしております。また、前年割れのない右肩上がりの配当額を還元していく考え方を基本としております。

  当社は、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としております。これらの剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。なお、当社は、「会社法第459条第１項の規定に基づき、取締役会の決議をもって剰余金の配当等を行うことができる。」旨を定款に定めております。

  当事業年度の配当につきましては、上記方針に基づき１株当たり84円（うち中間配当42円）を実施する予定であります。この結果、当事業年度の配当性向は63.8％となります。

  内部留保資金につきましては、今後予想される経営環境の変化への対応、人的資源の充実等に有効投資してまいりたいと考えております。

  なお、当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2025年９月８日

446,265

42.00

取締役会決議

2026年４月23日

446,265

42.00

定時株主総会決議（予定）"
2164,株式会社地域新聞社,2025-08-31,"３【配当政策】

当社は、株主の皆様への利益還元を経営上の重要事項として認識しておりますが、現在は他社とのアライアンスを中心とした新サービスの創出が最優先事項だと考えております。非連続な拡大に向けて、経営基盤の強化及び積極的な事業展開のための投資フェーズであり、配当の原資となる利益剰余金がマイナスとなっていることから、当事業年度につきましては期末配当を無配とさせていただきます。なお、2025年11月30日開催予定の定時株主総会の議案として、「資本金及び資本準備金の額の減少の件」としており、当該議案が承認可決されますと、利益剰余金のマイナスは解消される見込みです。中期的には、業績及び財務状況の改善に努め、各事業年度の業績推移及び利益剰余金の状況を勘案しながら株主への利益還元を検討していく方針であります。

なお、当社は中間配当を行うことができる旨を定款に定めております。"
2168,株式会社パソナグループ,2026-05-31,"３ 【配当政策】

当社は、持続的に発展する企業として充分な役割を果たすため、新規事業投資や設備投資などの成長資金を確保しつつ、経営基盤と収益力の強化に努め、企業価値の向上による株主利益の増大を目指しております。また、業績に応じた株主還元を実施することを基本方針に、連結配当性向40％を目処とするとともに、2030年５月期までの「PASONA GROUP VISION 2030」の期間中は、一時的な業績変動に左右されることなく、継続的かつ安定的な配当を実現するため、１株当たり75円を下限とした配当維持または増配を実施する累進配当を導入しております。

また、当社は2024年４月12日付「特別配当の決議及び2024年５月期期末配当予想の修正」でお知らせのとおり、連結子会社の株式を売却したことによる株主還元の拡充策として、2024年５月期から2028年５月期までの５期にわたって、毎期１株当たり60円の特別配当を実施することを決議しております。

当連結会計年度は、親会社株主に帰属する当期純利益は赤字となりましたが、継続的かつ安定的な配当の維持に努める当社の方針ならびに累進配当により、期末配当は普通配当15円に特別配当60円を加えた１株当たり75円といたします。
















決議年月日



配当金の総額



１株当たり配当額







2026年７月15日



取締役会



2,870



百万円



75



円





 


(注) １株当たり配当額の内訳 普通配当 15円 特別配当 60円"
2169,ＣＤＳ株式会社,2025-12-31,"３【配当政策】

配当については、経営環境の急激な変化に対応し、安定的な経営基盤の強化のために必要な内部留保を確保しつつ、株主への利益還元として長期的な安定配当を維持することを方針としております。配当の回数については、定時株主総会にて１回もしくは中間配当を含めた２回を基本方針としており、配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。なお、当社は会社法第454条第５項に基づき、中間配当制度を採用しております。

内部留保資金については、今後の経営環境の変化に対応するため、さらなる事業展開を図り今まで以上に競争力を高めるために有効投資をすることで、企業価値を高めてまいりたいと考えております。

今後の配当につきましては、経営環境、将来の成長、収益の状況等を総合的に勘案し、実施してまいります。

上記方針に基づき、当事業年度は１株当たり74円の配当を実施することを決定しました。このうち中間配当は37円であり、連結配当性向は110.6％となります。

当事業年度に係る剰余金の配当は、以下のとおりであります。

決議年月日

配当金の総額（千円）

１株当たりの配当額（円）

2025年８月８日

取締役会

252,326

37

2026年３月27日

定時株主総会

252,326

37"
2170,株式会社リンクアンドモチベーション,2025-12-31,"３【配当政策】

当社は、当該期の業績、今後の経営環境、投資計画等を総合的に勘案の上、株主に対するより積極的かつ長期安定的な利益還元を行っていくことを配当の基本方針としております。内部留保金につきましては、事業の拡大と効率化に向けたM&A、人材、設備への投資に充当し、業容拡大、企業価値向上に努めてまいります。また、剰余金の配当の回数については、機動的な株主還元ができるよう、年４回の四半期配当を導入してまいります。配当金の決定機関は取締役会であります。

当連結会計年度においては、第１、第２四半期は各3.9円、第３、第４四半期は各4.1円、年間配当は16.0円とさせていただきました。

基準日が第26期連結会計年度に属する剰余金の配当は、以下のとおりであります。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2025年５月14日

415

3.90

取締役会決議

2025年８月12日

415

3.90

取締役会決議

2025年11月13日

454

4.10

取締役会決議

2026年２月12日

454

4.10

取締役会決議"
2172,株式会社インサイト,2025-06-30,"３【配当政策】

配当政策の基本方針につきましては、株主への利益還元を重要な経営課題として認識しており、将来の事業展開と経営体質の強化のために必要な内部留保を確保しつつ、安定した配当を継続して実施していくことを基本方針としております。

当社は、年１回の期末配当による剰余金の配当を行うことを基本方針としておりますが、「取締役会の決議によって、毎年12月31日を基準日として中間配当をすることができる。」旨を定款に定めており、今後中間配当の実施を検討する予定です。これらの剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

当事業年度の配当につきましては、上記方針に基づく普通配当8.4円に、会社設立50周年及び札幌証券取引所本則市場への市場区分変更を記念した特別配当3.6円を加え、１株当たり12.0円の配当を実施することを決定いたしました。この結果、当事業年度の配当性向は36.4％となりました。

内部留保資金につきましては、財務体質の強化及び事業展開に充当し、将来的には収益を通じて株主に還元していきたいと考えております。

当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2025年９月25日

19,260

12.0

定時株主総会決議"
2173,株式会社博展,2025-12-31,"３【配当政策】

当社は、株主の皆様に対する利益還元を重要な経営課題と認識しており、経営成績および財務状況、中長期的な事業拡大に必要な内部留保など、その見通しに応じた適切な利益還元策を柔軟に検討し、実施することを基本方針としております。

剰余金の配当につきましては、中間配当および期末配当の年２回、配当性向目標30％を基本的な方針としており、剰余金の配当等会社法第459条第１項各号に定める事項については、法令の別段の定めがある場合を除き、取締役会の決議によって定めることができる旨、定款に規定しております。

当事業年度におきましては、年間配当予想を１株当たり24円としておりましたが、収益力の向上に加え、外部環境の影響による需要増および人員不足下での高稼働等により、利益が想定を上回る結果となりました。

これらの状況を踏まえ、次期以降の見通しについても継続性が見込まれる範囲を普通配当26円として設定し、これを上回る当事業年度の上振れ分については、単年度の機動的な株主還元として特別配当４円を実施することといたしました。

これにより、年間配当を合計30円（普通配当26円、特別配当４円）に修正することといたしました。 なお、特別配当は当事業年度の要因を踏まえた単年度の対応であり、次期以降の配当は業績動向、投資計画および財務状況等を総合的に勘案して決定してまいります。次期の配当につきましては、中間配当１株当たり13円、期末配当１株当たり14円を予定しております。

 

当事業年度に係る剰余金の配当は以下のとおりです。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2025年８月７日

159,781

10

取締役会決議

2026年２月16日

319,506

20

取締役会決議"
2175,株式会社エス・エム・エス,2026-03-31,"３【配当政策】

当社の配当については、成長への投資を優先したうえで、財務の状況を勘案し、連結配当性向30％を目安に累進配当（１株当たり配当金の前期実績に対して、配当維持又は増配を行うもの。）を行うことを基本方針としております。ただし、M&A等の大きな投資機会発生の際には、この限りではありません。

配当の実施については、中間配当と期末配当の年２回の剰余金の配当を行うことができる旨を定款に定めております。これら剰余金の配当の決定機関は、中間配当は取締役会、期末配当は株主総会です。

内部留保金の使途につきましては、既存事業のさらなる拡大と積極的な新規事業の開発・育成のための投資資金等に充当する予定です。

当事業年度においては、利益還元として株主配当を実施できる状況にあると判断いたしました。当事業年度に係る剰余金の配当は以下のとおりです。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2026年６月19日

2,421

29.5

定時株主総会"
2179,株式会社成学社,2026-03-31,"３ 【配当政策】

当社は、長期にわたる安定基盤の確立に努めるとともに、継続的かつ安定的な配当の実施を基本方針とし、収益状況に応じて配当性向を勘案し、１株当たり配当額の向上を図る方針であります。

当社は、中間配当と期末配当の年２回剰余金の配当を行うことを基本方針としております。これらの剰余金の配当決定機関は、期末配当については株主総会、中間配当については取締役会であります。

当事業年度の配当については、上記方針に基づき、１株当たり22.00円（うち中間配当11.00円）とすることを2026年６月26日の定時株主総会で決議する予定であります。この結果、配当性向は22.8％となる予定であります。

内部留保した資金については、業容拡大のための設備投資、新規事業の開発並びにＭ＆Ａ等に活用し、企業価値を高めてまいります。

なお、当社は会社法第454条第５項の規定に基づき、取締役会の決議によって中間配当を行うことができる旨を定款に定めております。

 

(注)  基準日が当事業年度に属する剰余金の配当は以下のとおりであります。













決議年月日



配当金の総額(千円)



１株当たり配当額(円)







2025年11月13日

取締役会



61,026



11.00







2026年６月26日

定時株主総会（予定）



61,026



11.00"
2180,株式会社サニーサイドアップグループ,2025-06-30,"３【配当政策】

当社は、中長期的な企業価値向上及び配当を通じた株主への直接的な利益還元を経営上の重要課題と認識しております。

当社は、中間配当を行うことができる旨を定款で定めており、期末配当による年１回の剰余金の配当を行うことを基本方針としながらも、健全な財務体質の維持や積極的な事業展開のための内部留保の充実等を勘案した上で、配当性向30％程度を意識した安定的な配当の実施に加えて、機動的な利益還元を実施したいと考えております。

2025年６月期の剰余金の配当につきましては、安定的な利益配分及び更なる成長に向けた戦略投資のための内部留保等を勘案し、年間配当金は１株当たり22円（中間配当金７円、期末配当金15円）とし、配当性向は34.6％となります。

なお、次期（2026年６月期）の年間配当金につきましては、１株当たり24円（中間配当金11円、期末配当金13円）とし、配当性向は31.7％を予定しております。

当事業年度に係る剰余金の配当は以下のとおりであります。

 

決議年月日

配当金の総額（千円）

１株当たり配当額（円）

2025年２月13日

104,441

7

取締役会決議

2025年９月26日

223,802

15

定時株主総会決議（予定）"
2181,パーソルホールディングス株式会社,2026-03-31,"３【配当政策】

当社は、株主の皆様に対する利益還元を経営上の重要課題と認識しております。内部留保の適正水準を維持しながら、成長分野への迅速かつ積極的な事業展開が可能な企業体質の強化を図りつつ、配当性向を重視した配当の実施を基本方針としております。2027年３月期から始まる中期経営計画FY2028においては、調整後EPSに対して配当性向を50%以上にすることを方針としております。

 

また、当社は、剰余金の配当について、中間配当及び期末配当の年２回実施を基本方針としております。

剰余金の配当の決定機関は、中間配当については取締役会、期末配当については株主総会であります。中間配当に関しましては、毎年９月30日を基準日として中間配当をすることができる旨定款に定めております。

上記方針に基づく当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（百万円）

１株当たり配当額

（円）

2025年11月11日

12,391

5.5

取締役会決議

2026年６月23日

13,512

6.0

定時株主総会決議（予定）"
2183,株式会社リニカル,2026-03-31,"３【配当政策】

当社は、中長期的な成長による企業価値向上と利益還元のバランスの最適化を図ることを重要施策と位置付け、株主の皆様からお預かりした資本に対して如何に報いるかという視点に立ち、業績を勘案した配当政策を行い、安定的に利益還元に努めてまいります。

当社は、期末に年１回の剰余金の配当を行うことを基本方針としております。なお、当社は、「会社法第459条第１項の規定に基づき、取締役会の決議をもって剰余金の配当等を行うことができる。」旨定款に定めております。

第21期事業年度の配当につきましては、上記方針に基づき１株当たり８円00銭の配当を実施いたしました。

内部留保金につきましては、将来の事業発展に必要不可欠な成長投資として活用し、中長期的な成長による企業価値向上を通じて株主の皆様の期待にお応えしてまいります。今後予想される経営環境の変化に対応すべく、今まで以上に品質向上に努め、顧客のニーズに応える開発体制を強化し、さらには、グローバル戦略の展開を図るために有効に投資してまいりたいと考えております。

なお、基準日が当事業年度に属する剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年６月１日

180,691

8.00

取締役会決議"
2185,株式会社シイエム・シイ,2025-09-30,"３【配当政策】

当社は株主の皆さまに対する利益還元を経営の最重要課題のひとつと認識しており、業績動向・財務体質、将来のための投資に必要な内部留保等を総合的に勘案し、配当金額の継続的な増額をめざしていくことを基本的な考え方とし、中間配当と期末配当の年２回の剰余金の配当を行うことを基本としております。

 

以上の考え方に基づき、当期の配当につきましては、１株当たり52円（うち中間配当24円）を予定しております。

当社は「取締役会の決議によって毎年３月31日を基準日として、中間配当を行うことができる」旨を定款に定めており、配当の決定機関は、期末配当については株主総会、中間配当については取締役会としております。

なお、配当の決定機関については、2025年12月19日開催の当社第64回定時株主総会において、「会社法第459条の第１項の規定に基づき、取締役会の決議をもって剰余金の配当等を行うことができる」旨の定款変更を決議予定です。

 

当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2025年５月13日

313,522

24

取締役会決議

2025年12月19日

362,419

28

定時株主総会決議（予定）"
2186,ソーバル株式会社,2026-02-28,"３ 【配当政策】

当社は、株主の皆様への長期的利益還元を経営課題の一つとして考え、当社において将来可能性がある企業買収や設備投資、研究開発等のための内部留保の充実を図るとともに、安定的かつ継続的な利益還元策の実施を目指すことを基本方針としております。

また、当社の剰余金の配当は中間配当と期末配当の年２回を基本的な方針としており、これらの配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。なお、当社は中間配当を行うことができる旨を定款に定めております。

内部留保金につきましては、今後の事業展開への備えや、人材・設備への投資に充当し、一層の業容拡大を目指してまいります。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額
(千円)



１株当たり配当額
(円)







2025年10月14日

取締役会決議



129,809



16.50







2026年５月27日

定時株主総会決議（予定）



129,809



16.50"
218A,株式会社Ｌｉｂｅｒａｗａｒｅ,2025-07-31,"３【配当政策】

当社は、事業展開の状況、業績や財務状態等を総合的に勘案しながら、継続的かつ安定的な配当を行うことを基本方針としております。しかしながら、当社は成長過程にあるため、将来の事業展開と財務体質強化のため必要な内部留保の確保を優先し、創業以来配当を実施しておりません。

当面の間は、将来にわたる企業価値向上のために内部留保の充実及び業容拡大のための先行的な投資を優先していきますが、将来的には、財政状態及び経営成績を勘案しながら株主への利益の配当を目指していく方針であります。ただし、配当実施の可能性及びその実施時期等につきましては、現時点において未定であります。

なお、剰余金の配当を行う場合、年１回の期末配当を行うことを基本方針としており、配当の決定機関は、株主総会であります。また、当社は、「取締役会の決議により、毎年１月31日を基準日として中間配当を行うことができる」旨を定めております。"
2193,クックパッド株式会社,2025-12-31,"３ 【配当政策】

当社は、さらなる大きな成長のための事業基盤創りに注力するため、事業上獲得した資金を事業開発、ユーザーベース獲得、ブランド構築等の事業拡大のための投資に充当することを優先し、剰余金の配当は行わない方針です。"
2195,アミタホールディングス株式会社,2025-12-31,"３【配当政策】

当社グループは、「持続可能社会＝発展すればするほど自然資本と人間関係資本が増加する社会」の実現を目指し、その実践においてはステークホルダー経営（株主・顧客・取引先・従業員・地域社会を含む）を目指しております。

ステークホルダーの皆様の共通の望みである「持続性」を実現するためには、長引くロシア・ウクライナ情勢、米国による関税引上げの示唆やベネズエラ、グリーンランドをめぐる国際情勢の影響等によって従来の成長エンジンであった安定した「グローバル市場及びグローバルサプライチェーン」が不安定さを増す時代において、将来リスクを解決するための新規市場及び人的資本への投資が重要であると認識しております。すなわち、当該投資活動を積極的に行い、企業競争力と企業価値を向上させることが、ステークホルダーの皆様への中長期的利益還元として重要な経営課題の一つであると考えております。

以上を踏まえ、企業・自治体等における持続性向上ニーズが急速に顕在化してきている情勢から、当該ニーズに応える統合的な新サービスの開発と提供に向けた投資活動を一定期間拡大・継続することとし、この投資・開発期間は当期純利益の10％相当額を超える期末配当を目標としてまいります。そして、新しい成長エンジンである、持続的で安定的な「サーキュラーサプライチェーン及びローカルコミュニティネットワーク市場」の構築・安定化をもって、財務体質と経営基盤の強化を図るとともに、必要な内部留保を確保しつつ、当期純利益の30％相当額の期末配当を目標として、ステークホルダーの皆様に対して適正な利益還元を継続的に実施してまいります。

当社は、年１回の期末配当を行うことを基本方針としており、その決定機関は株主総会であります。

当連結会計年度の配当につきましては、上記方針に基づき当期は１株当たり5.0円の配当を実施することとしました。この結果、当連結会計年度の連結配当性向は28.2％となりました。

内部留保については、上記にも記載のとおり、統合的な新サービスの開発、設備増強、営業力強化、人的資源の充実、経営資源の増幅に資する施策等の将来の成長に向けた有効な投資活動に充当し、企業競争力と企業価値の向上に取り組む考えであります。

また、当社は、「取締役会の決議によって、毎年６月30日を基準日とする中間配当を行うことができる」旨を定款に定めております。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

 

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年３月26日

87,762

5.0

定時株主総会決議（予定）"
2198,アイ・ケイ・ケイホールディングス株式会社,2025-10-31,"３【配当政策】

当社は、株主の皆さまに対する利益還元を経営の重要課題のひとつと認識し、将来の事業展開と経営体質の強化のために必要な内部留保を確保しつつ、経営成績に応じた配当を実施していく方針であります。剰余金の配当を行う場合は年１回期末での配当を基本方針としており、配当の決定機関は、株主総会であります。当事業年度の配当につきましては、上記方針のもと、１株当たり24円と決定いたしました。

なお、内部留保資金の使途につきましては、今後の当社の事業展開を見据えた中長期的な投資原資として、主に設備資金に充当していくこととしております。

当社は会社法第454条第５項に規定する中間配当を取締役会の決議により行うことができる旨を定款に定めております。

（注） 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年１月27日

710,015

24.00

定時株主総会決議（予定）"
219A,Ｈｅａｒｔｓｅｅｄ株式会社,2025-12-31,"３【配当政策】

株主への利益還元については、重要な経営課題と認識しており、将来的には経営成績及び財政状態を勘案しつつ剰余金の分配を検討する所存でありますが、現時点においては繰越利益剰余金がマイナスであること、及び当分の間は研究開発を積極的に推進することで企業価値の向上を目指すことから、当面の間は配当を実施しない方針であり、内部留保資金を研究開発に充当する方針です。

なお、配当を実施する際は年１回の期末配当を基本としてまいりましたが、将来の機動的な資本政策および配当政策を可能とするため、2026年3月27日開催予定の第10回定時株主総会において、会社法第459条第1項の規定に基づき、剰余金の配当等を取締役会決議によって決定できるよう定款変更を予定しております。"
2201,森永製菓株式会社,2026-03-31,"３ 【配当政策】

当社グループは、戦略的かつ重要な事業投資を優先することを原則としつつ、株主の皆様への利益還元について、経営基盤の盤石化のもとに、継続的かつ安定的な株主還元の実施を基本方針としております。

株主還元にあたっては、健全なバランスシートを維持することを前提に、配当性向の水準、フリーキャッシュ・フローを考慮しつつ、資本政策の指標である純資産配当率（ＤＯＥ）の水準を中長期的に引き上げていくことを目指してまいります。また、総還元性向を意識して、必要に応じ自己株式の取得を機動的に実施することも検討してまいります。

当社は中間配当を行うことができる旨を定款で定めており、剰余金の配当の決定機関は、期末配当につきましては株主総会、中間配当につきましては取締役会としております。当期末の配当金につきましては、当連結会計年度の業績及び今後の事業展開などを慎重に検討してまいりました結果、１株当たり32.50円とする予定であります。（2026年６月26日開催予定の第178期定時株主総会に付議予定）

次期にあたる2027年３月期の配当金につきましては、当期の１株当たり65円から５円増配の１株当たり70円（うち中間配当35円）とする予定であります。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。














 



決議年月日



配当金の総額
（百万円）



１株当たり配当額
（円）







 



2025年11月12日

取締役会決議



2,733



32.50







 



2026年６月26日

定時株主総会決議（予定）



2,731



32.50"
2204,株式会社中村屋,2026-03-31,"３ 【配当政策】

事業活動で得られました利益の配分につきましては、株主の皆様への長期にわたり安定的かつ継続的な配当を重視するとともに、今後の事業展開を勘案した株主資本の充実により企業体質の強化を図ることを基本方針としております。

当社の剰余金の配当は、年１回の期末配当を基本的な方針としており、配当の決定機関は株主総会であります。

当事業年度の期末配当金につきましては、企業体質の強化並びに今後の事業展開などを勘案するとともに株主の皆様への安定的かつ継続的な配当を考慮の上、普通配当として１株に当たり75円00銭（通期）を、2026年６月26日開催予定の定時株主総会で決議して実施する予定であります。

内部留保につきましては、財務体質の充実強化を図りながら長期安定的な経営基盤の確立に向けた今後の研究開発、環境保全、品質保証をはじめ、市場ニーズに応えられる生産設備の増強、商品力・サービスの向上、情報・物流システムへの投資、新規市場開拓、新規事業分野への展開など将来にわたっての企業価値向上につなげられるよう活用してまいります。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額（千円）



１株当たり配当額（円）







2026年６月26日

定時株主総会決議（予定）



428,595



75.00"
2206,江崎グリコ株式会社,2025-12-31,"３【配当政策】

当社は、株主の皆様に対する利益還元を経営の最重要課題のひとつと位置付けた上で、財務体質の強化と積極的な事業展開に必要な内部留保の充実を勘案し、本中期経営計画期間（2025年度～2027年度）において連結配当性向45％以上を目安に安定した配当政策を実施することを基本方針として、中間配当と期末配当の年２回、剰余金の配当を行っております。今後も、中長期的な視点にたって、成長が見込まれる事業分野に経営資源を投入することにより持続的な成長と企業価値の向上並びに株主価値の増大に努めてまいります。

当事業年度の配当金につきましては、上記方針に基づき、中間配当金は１株当たり45円、期末配当金は１株当たり50円とし、年間配当金は１株当たり95円といたしました。

なお、当社は2026年２月13日付けで開示いたしましたとおり、株主還元の充実を図るとともに、経営環境の変化に対応し機動的な資本政策の遂行を可能とするため、2026年度において250億円（上限）の自己株式の取得を決議いたしました。

当社は、会社法第459条第１項の規定に基づき、取締役会の決議によって剰余金の配当を行うことができる旨及び期末配当、中間配当のほか、基準日を定めて剰余金の配当をすることができる旨を定款に定めております。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（百万円）

１株当たり配当額

（円）

2025年８月６日

2,864

45

取締役会決議

2026年２月13日

3,183

50

取締役会決議"
2207,株式会社ｍｅｉｔｏ,2026-03-31,"３ 【配当政策】

当社は、将来に向けた成長投資を行い、収益力の向上と資本効率の改善を図りつつ、株主の皆様に対しては安定的な配当を維持継続することを利益配分の基本とし、累進配当を継続して実施する方針としております。

当社の剰余金の配当は、中間配当および期末配当の年２回を基本的な方針としております。配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。

当事業年度の剰余金の期末配当金につきましては、2026年６月25日開催予定の定時株主総会にて、１株につき35円の配当を決議する予定であります。また、年間配当金は、既に実施済の中間配当１株につき20円と合わせて55円となり、前事業年度に比べ20円増配となる予定であります。

また、翌事業年度の配当金につきましては、中間配当として１株当たり40円、期末配当として１株当たり40円を予定しており、年間配当金は１株当たり80円となる予定であります。これは、当事業年度の年間配当金55円から25円の増配となります。

内部留保金は、長期間にわたる研究開発投資や製造設備投資に充当し、今後の事業拡大に活用してまいります。

なお、当社は中間配当を行うことができる旨を定款に定めております。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額（百万円）



１株当たり配当額（円）







 2025年11月10日

 取締役会決議



338



20







2026年６月25日

定時株主総会決議（予定）



570



35"
